Date;Open;High;Low;Close;Volume
2019.06.04;7027.30;7033.20;7025.70;7031.80;1028
2019.06.04;7031.70;7031.70;7024.20;7026.20;818
2019.06.04;7026.00;7027.40;7021.90;7023.40;843
2019.06.04;7023.50;7025.90;7016.90;7017.20;798
2019.06.04;7018.20;7019.70;7015.40;7016.50;796
2019.06.04;7016.70;7016.70;7011.40;7014.30;741
2019.06.04;7014.40;7019.90;7011.40;7019.40;866
2019.06.04;7019.50;7042.70;7019.40;7028.20;1511
2019.06.04;7027.90;7031.70;7024.00;7028.50;1234
2019.06.04;7028.30;7043.00;7028.30;7040.00;1428
2019.06.04;7039.70;7049.40;7037.90;7049.20;955
2019.06.04;7049.30;7050.90;7043.20;7043.70;838
2019.06.04;7043.90;7059.50;7043.30;7053.90;1142
2019.06.04;7053.70;7061.00;7044.30;7046.80;1182
2019.06.04;7046.70;7059.30;7027.20;7034.40;2743
2019.06.04;7034.20;7050.00;7022.40;7036.50;2867
2019.06.04;7035.40;7050.70;7024.90;7050.70;2820
2019.06.04;7050.90;7087.00;7047.20;7079.90;2630
2019.06.04;7079.80;7086.70;7071.50;7077.20;2499
2019.06.04;7076.90;7085.70;7064.70;7085.20;2460
2019.06.04;7084.00;7113.40;7080.70;7106.40;2450
2019.06.04;7106.30;7129.70;7103.90;7125.90;2399
2019.06.04;7126.40;7131.30;7121.40;7129.90;2310
2019.06.04;7130.20;7137.40;7126.40;7127.90;2161
2019.06.04;7127.80;7131.40;7111.40;7114.90;2146
2019.06.04;7114.70;7121.20;7107.90;7117.40;1768
2019.06.04;7117.50;7122.20;7109.40;7121.90;1666
2019.06.04;7121.70;7138.70;7119.40;7132.70;1851
2019.06.04;7132.80;7142.40;7130.40;7133.30;1813
2019.06.04;7133.40;7141.20;7125.40;7141.20;1770
2019.06.04;7141.00;7147.70;7136.00;7141.40;1807
2019.06.04;7141.70;7152.40;7138.90;7149.90;1536
2019.06.04;7150.00;7153.20;7137.20;7138.40;1734
2019.06.04;7138.70;7142.20;7131.00;7141.70;1670
2019.06.04;7141.40;7143.20;7132.40;7142.40;1714
2019.06.04;7142.70;7144.70;7133.80;7134.40;1588
2019.06.04;7134.50;7151.20;7134.50;7149.20;1571
2019.06.04;7149.30;7150.70;7143.30;7148.90;1346
2019.06.04;7148.70;7149.00;7140.70;7144.70;1532
2019.06.04;7144.40;7169.20;7141.90;7166.20;1659
2019.06.04;7166.40;7174.20;7164.30;7172.90;1067
2019.06.04;7175.20;7177.50;7171.30;7177.40;346
2019.06.04;7177.30;7180.50;7176.90;7180.20;252
2019.06.05;7184.40;7201.60;7183.70;7197.30;582
2019.06.05;7197.60;7204.70;7196.80;7203.60;342
2019.06.05;7203.70;7204.70;7193.30;7194.40;354
2019.06.05;7194.30;7194.30;7187.40;7188.60;244
2019.06.05;7188.30;7191.80;7187.80;7191.80;275
2019.06.05;7191.60;7192.30;7188.20;7189.30;209
2019.06.05;7189.60;7193.90;7187.60;7193.20;217
2019.06.05;7193.10;7199.60;7191.60;7198.90;617
2019.06.05;7198.60;7199.20;7188.10;7189.90;1101
2019.06.05;7189.80;7197.10;7188.90;7196.80;667
2019.06.05;7196.40;7198.90;7194.90;7197.80;638
2019.06.05;7197.70;7202.70;7196.60;7200.30;520
2019.06.05;7200.40;7207.80;7200.20;7207.30;641
2019.06.05;7207.20;7209.70;7205.10;7208.30;798
2019.06.05;7208.10;7208.10;7198.90;7202.80;1042
2019.06.05;7202.70;7214.40;7199.40;7212.80;922
2019.06.05;7212.30;7214.70;7208.40;7211.80;904
2019.06.05;7211.70;7212.40;7206.90;7208.70;607
2019.06.05;7208.80;7208.90;7204.90;7205.60;502
2019.06.05;7205.70;7205.80;7199.60;7201.20;632
2019.06.05;7201.30;7205.70;7199.70;7205.10;581
2019.06.05;7205.20;7206.80;7199.60;7199.80;516
2019.06.05;7200.10;7203.90;7199.30;7203.30;411
2019.06.05;7203.20;7204.40;7201.20;7202.20;319
2019.06.05;7201.90;7202.70;7198.20;7198.20;226
2019.06.05;7198.30;7199.80;7196.40;7197.70;216
2019.06.05;7197.40;7200.30;7196.80;7200.20;218
2019.06.05;7199.90;7200.40;7196.90;7199.60;151
2019.06.05;7199.30;7202.70;7197.40;7200.80;522
2019.06.05;7200.90;7201.70;7194.40;7194.90;493
2019.06.05;7195.10;7195.20;7188.60;7191.60;515
2019.06.05;7191.40;7192.40;7184.90;7187.80;564
2019.06.05;7188.30;7189.40;7183.40;7188.10;671
2019.06.05;7187.90;7188.10;7180.40;7182.90;708
2019.06.05;7182.10;7183.10;7177.40;7179.70;723
2019.06.05;7179.90;7187.40;7176.70;7184.30;763
2019.06.05;7184.40;7184.70;7177.80;7180.40;1251
2019.06.05;7180.60;7187.60;7174.20;7187.40;1269
2019.06.05;7187.30;7196.90;7186.40;7195.90;1234
2019.06.05;7196.20;7211.30;7196.20;7208.30;1148
2019.06.05;7208.60;7211.20;7205.40;7205.90;1173
2019.06.05;7206.10;7208.20;7198.90;7207.10;1046
2019.06.05;7207.20;7211.90;7201.30;7202.80;1140
2019.06.05;7203.40;7207.20;7201.40;7202.40;746
2019.06.05;7202.30;7205.20;7197.20;7202.80;865
2019.06.05;7202.60;7225.30;7201.90;7223.70;1145
2019.06.05;7223.80;7231.90;7222.90;7231.10;1103
2019.06.05;7230.90;7232.30;7226.40;7230.40;958
2019.06.05;7230.10;7238.90;7227.20;7237.30;1027
2019.06.05;7237.20;7239.20;7228.70;7232.40;1074
2019.06.05;7232.30;7234.70;7228.30;7229.20;869
2019.06.05;7229.30;7236.20;7227.10;7234.40;886
2019.06.05;7234.70;7236.40;7225.90;7227.30;861
2019.06.05;7227.20;7227.40;7219.40;7220.40;834
2019.06.05;7220.70;7220.90;7215.20;7219.20;881
2019.06.05;7219.30;7225.70;7216.90;7224.80;971
2019.06.05;7225.20;7230.80;7222.10;7222.80;842
2019.06.05;7222.70;7222.70;7200.90;7204.60;2028
2019.06.05;7204.20;7214.80;7200.80;7212.40;1453
